feature,importance,std
has_post_data,0.3013157894736842,0.03878790256048335
payload_length,0.053947368421052654,0.01991150782950205
request_time_ms,0.044736842105263186,0.006446025638903121
response_size,0.03947368421052633,0.0
response_status,0.022368421052631572,0.006029704861783968
error_leaked,0.021052631578947368,0.01052631578947367
db_error_visible,0.017105263157894755,0.006029704861783968
has_xframe_options,0.01578947368421053,0.00984646680729983
method,0.014473684210526328,0.00921052631578946
response_time_anomaly,0.011842105263157932,0.003947368421052644
has_session_cookie,0.0,0.0
has_csp,0.0,0.0
has_content_type,0.0,0.0
payload_reflected,0.0,0.0
